Date,Close,Temperature
2021-11-18T00:00:00,35,26.2
2021-11-18T00:00:01,35,26.2
2021-11-18T00:00:03,35,26.1
2021-11-18T00:00:06,35,26.2
2021-11-18T00:00:08,35,26.1
2021-11-18T00:00:10,35,26.1
2021-11-18T00:00:12,35,26.1
2021-11-18T00:00:14,35,26.1
2021-11-18T00:00:16,35,26.2
2021-11-18T00:00:18,35,26.1
2021-11-18T00:00:20,35,26.2
2021-11-18T00:00:22,35,26.2
2021-11-18T00:00:24,35,26.2
2021-11-18T00:00:26,35,26.1
2021-11-18T00:00:28,35,26.2
2021-11-18T00:00:30,35,26.3
2021-11-18T00:00:32,35,26.1
2021-11-18T00:00:34,35,26.2
2021-11-18T00:00:37,35,26.1
2021-11-18T00:00:39,35,26.2
2021-11-18T00:00:41,35,26.2
2021-11-18T00:00:43,35,26.2
2021-11-18T00:00:45,35,26.2
2021-11-18T00:00:47,35,26.1
2021-11-18T00:00:49,35,26.1
2021-11-18T00:00:51,35,26.1
2021-11-18T00:00:53,35,26.1
2021-11-18T00:00:55,35,26
2021-11-18T00:00:57,35,26.2
2021-11-18T00:01:01,35,26.2
2021-11-18T00:01:03,35,26.2
2021-11-18T00:01:05,35,26.1
2021-11-18T00:01:08,35,26.1
2021-11-18T00:01:10,35,26.1
2021-11-18T00:01:12,35,26.2
2021-11-18T00:01:14,35,26.1
2021-11-18T00:01:16,35,26.2
2021-11-18T00:01:18,35,26.3
2021-11-18T00:01:20,35,26.2
2021-11-18T00:01:22,35,26.2
2021-11-18T00:01:24,35,26.1
2021-11-18T00:01:26,35,26.2
2021-11-18T00:01:28,35,26.2
2021-11-18T00:01:30,35,26.2
2021-11-18T00:01:32,35,26.1
2021-11-18T00:01:34,35,26.2
2021-11-18T00:01:36,35,26.1
2021-11-18T00:01:39,35,26.2
2021-11-18T00:01:41,35,26.2
2021-11-18T00:01:43,35,26.1
2021-11-18T00:01:45,35,26.1
2021-11-18T00:01:47,35,26.2
2021-11-18T00:01:49,35,26.2
2021-11-18T00:01:51,35,26.2
2021-11-18T00:01:53,35,26.2
2021-11-18T00:01:55,35,26.1
2021-11-18T00:01:57,35,26
2021-11-18T00:01:59,35,26.1
2021-11-18T00:02:01,35,26.2
2021-11-18T00:02:03,35,26.1
2021-11-18T00:02:05,34,25.9
2021-11-18T00:02:07,35,26.1
2021-11-18T00:02:10,35,26.1
2021-11-18T00:02:12,35,26.2
2021-11-18T00:02:14,35,26.1
2021-11-18T00:02:16,35,26.1
2021-11-18T00:02:18,35,26.1
2021-11-18T00:02:20,35,26.1
2021-11-18T00:02:22,35,26.2
2021-11-18T00:02:24,35,26.2
2021-11-18T00:02:26,35,26.2
2021-11-18T00:02:28,35,26.3
2021-11-18T00:02:30,35,26.1
2021-11-18T00:02:32,35,26.1
2021-11-18T00:02:34,35,26.1
2021-11-18T00:02:36,35,26.1
2021-11-18T00:02:38,35,26.1
2021-11-18T00:02:41,35,26
2021-11-18T00:02:43,35,26.1
2021-11-18T00:02:45,35,26.1
2021-11-18T00:02:47,35,26.1
2021-11-18T00:02:49,35,26.1
2021-11-18T00:02:51,35,26.1
2021-11-18T00:02:53,35,26.1
2021-11-18T00:02:55,35,26
2021-11-18T00:02:57,35,26.1
2021-11-18T00:02:59,35,26.1
2021-11-18T00:03:01,35,26
2021-11-18T00:03:03,34,25.8
2021-11-18T00:03:05,35,26.1
2021-11-18T00:03:07,35,26.1
2021-11-18T00:03:09,35,26.1
2021-11-18T00:03:11,35,26.1
2021-11-18T00:03:14,35,26.1
2021-11-18T00:03:16,35,26.1
2021-11-18T00:03:18,35,26.1
2021-11-18T00:03:20,35,26.1
2021-11-18T00:03:22,35,26.1
2021-11-18T00:03:24,35,26.1
2021-11-18T00:03:26,35,26
2021-11-18T00:03:28,35,26.2
2021-11-18T00:03:30,35,26.2
2021-11-18T00:03:32,35,26.1
2021-11-18T00:03:34,35,26.1
2021-11-18T00:03:36,35,26.1
2021-11-18T00:03:38,35,26.2
2021-11-18T00:03:40,35,26.1
2021-11-18T00:03:42,35,26.1
2021-11-18T00:03:45,35,26.2
2021-11-18T00:03:47,35,26
2021-11-18T00:03:49,35,26.2
2021-11-18T00:03:51,35,26
2021-11-18T00:03:53,35,26.1
2021-11-18T00:03:55,35,26.2
2021-11-18T00:03:57,35,26.1
2021-11-18T00:03:59,35,26.2
2021-11-18T00:04:01,35,26.1
2021-11-18T00:04:03,35,26.1
2021-11-18T00:04:05,35,26.1
2021-11-18T00:04:07,35,26.1
2021-11-18T00:04:09,35,26.1
